url,price_value,price_type,expenses_value,expenses_type,square_meters_area_0,bedrooms_0,bathrooms_0,location,description,CARD_CONTACT_MODAL,rooms_0,CARD_WHATSAPP,un,a,baño1,baño2,baño5,baño20,parking_0,baño99,baño18,C_integrada,C_independiente,Patio,Sep_check,id_publicacion
/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-en-opera-plaza-56655627.html?n_src=Listado&n_pills=Quincho&n_pg=1&n_pos=11,97000,USD,250000,$,52.0,1.0,1.0,"Nueva Córdoba, Córdoba","Departamento 1 dormitorio A estrenar – opera plaza, ciudad universitaria - oportunidad¡Invertí en un condominio premium con ubicación estratégica y amenities de primer nivel! Ubicación inmejorable en Ciudad Universitaria, Córdoba. Acceso directo a múltiples líneas de colectivo que conectan con toda la ciudad. Ideal para estudiantes, jóvenes profesionales o como inversión para renta. Departamento de 1 dormitorio con diseño moderno y materiales de calidad. • Cocina semi integrada con anafe eléctrico• Living comedor con salida a cantero aéreo con pasto sintético y riego por goteo• Dormitorio con dvh y aberturas abest de alta prestación• Baño completo con excelentes griferías• Preinstalación de aire acondicionado en todos los ambientes• Sistema 100% eléctrico con termotanque eléctrico (sin gas) El complejo apuesta a un diseño sustentable, con bajo mantenimiento y eficiencia energética. Ideal para estudiantes, alquiler tradicional o plataformas temporarias. Excelente proyección de revalorización y demanda. El proyecto: ópera plaza es el nuevo desarrollo de Grupo Proaco en Ciudad Universitaria. Un condominio moderno y funcional compuesto por 5 torres con diseño nórdico escalonado, pensado para optimizar la iluminación natural en todos los departamentos. • Cocheras subterráneas• Bauleras• Pileta semi olímpica y pileta para niños• Gimnasio completamente equipado• Espacio de coworking• Quinchos con asadores• Paseo comercial• Plaza y espacios verdes con diseño paisajísticoTorre 1 con entrega prevista para agosto/septiembre de 2025vení A visitarlo!",Contactar,2.0,WhatsApp,,,,,,,,,,0,0,0,0,56655627
/propiedades/emprendimiento/ememvein-opera-plaza-cruz-roja-esq.-av-belardinelli-58050898.html?n_src=Listado&n_pg=1&n_pos=12,89900,USD,,,132.0,,,"Nueva Córdoba, Córdoba","Te invitamos a conocer: En Av Cruz Roja y Felipe Belardinelli (frente a Ciudad Universitaria), edificio de departamentos de 1, 2 y 3 dormitorios, Opera Plaza. Características generales: Tipologías de 1, 2 y 3 dormitoriosCocinas estilo americanas o separadas (según tipología) Balcones y terrazas (según tipología) Dormitorios con placardBaños y toilettes (según tipología) Superficies de los 40 a mts a los 130 mtsAmenidades: -Coworking-Mercado barrial-Juegos infantiles-Postas de ejercicio-Food trucks-Parking de cortesía -Wi-Fi zone-Piscina semi olímpica-Gym-Quinchos equipados-Parking subterráneo-Seguridad 24 hs. Ubicación: Ubicado en el corazón de la zona sur de Córdoba, frente a la Ciudad Universitaria, un complejo de 5 edificios con terrazas ajardinadas que se integran a grandes superficies verdes y de servicio. A 2 minutos de Ciudad UniversitariaA 3 minutos de Parque SarmientoA 4 minutos de Plaza EspañaA 5 minutos de Nueva CordobaLa información detallada es exclusiva de taiana propiedades y es susceptible a modificación sin previo aviso. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. Todas las fotos, imágenes y videos son meramente ilustrativos, referenciales y no contractuales. Los precios enunciados son meramente orientativos y están sujetos a modificación sin previo aviso, como así también su disponibilidad. -",Contactar,3.0,WhatsApp,4.0,51.0,,,,,,,,0,0,0,0,58050898
/propiedades/clasificado/veclapin-venta-depto-1-dorm-nueva-cordoba-refaccionado-a-58718235.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=13,76000,USD,80000,$,36.0,1.0,1.0,"Nueva Córdoba, Córdoba","Venta departamento 1 dormitorio excelente ubicación nueva CórdobaUbicación: Obispo Trejo 437Consta de: - 1 dormitorio - Living comedor- Baño completo- Cocina integradaListo para escriturarel departamento de refaccionó por completo, se le realizó instalación eléctrica, del agua y del gas a nuevo. Mobiliario nuevo en todos los ambientes, aberturas linea modena, etc. Comercializalopez baena propiedades- Las personas primero -",Contactar,,WhatsApp,,,,,,,,,,1,0,0,1,58718235
/propiedades/clasificado/veclapin-departamento-en-nueva-cordoba-57871830.html?n_src=Listado&n_pills=Luminoso&n_pg=1&n_pos=14,132500,USD,100000,$,60.0,1.0,1.0,"Nueva Córdoba, Córdoba","Castiñeira salguero gestion inmobiliaria presenta esta oportunidadDepartamentos en pozo en Edificio Bosco (Entrega Diciembre 2026) Obispo Oro 354, entre Chacabuco y Obispo SalgueroDepartamento Flex (1 dormitorio + escritorio) Generosas Dimensiones (68 m2 propios, 10m2 balcon) Equipamiento premium (ventanas de gran tamaño, mesadas leather, griferia negra, iluminacion led, espejo de baño, cortinas sunscreen y blackout)",Contactar,3.0,WhatsApp,,,,,,,,,,0,0,0,0,57871830
/propiedades/clasificado/veclapin-departamento-en-venta-1-dormitorio-nueva-cordoba-57852640.html?n_src=Listado&n_pills=Quincho&n_pg=1&n_pos=15,125000,USD,,,47.0,1.0,1.0,"Nueva Córdoba, Córdoba","A mts. De Plaza España. A estrenar. Balcón al frente. Piso alto. Quincho con asador. Esquina Buenos Aires. Propiedad/características: Exterior de hormigón visto combinado con revestimiento metálico &quot;skinwall Quadrante&quot; que aporta una imagen homogénea con los juegos de luz y sombra. Calefaccionados por radiadores con caldera dual. Cada uno de ellos estará conformado por: Dormitorio con la preinstalación de un aire acondicionado multisplit. Cocina que contará con bajo mesada en mdf terminado en melanina, cantos de abs y herrajes de primera calidad con cierre suave. Living - comedor con pisos de porcelanato simil madera y calefaccionado a través de radiadores. Baño equipado con un mueble tipo Vanitory y mampara. Griferias fv con cierre cerámico y sanitorios color blanco marca Ferrum. Balcón de amplias dimensiones con iluminacion led. ubicación: María Reina xviii es el decimo octavo edificio de la familia María Reina. Estos desarrollos se caracterizan por la ubicación en puntos estratégicos de los barrios Nva. Córdoba y Gral. Paz. La calidad en Proyecto y terminaciones conjuntamente con la experiencia adquirida hacen más confiable la decisión de invertir en estos desarrollos inmobiliarios. María Reina xviii, se encuentra emplazado en las intersecciones de las calles José Manuel Estrada y Buenos Aires. Una excelente ubicación en una de las esquinas mas importantes de la ciudad, en el corazón del barrio de Nueva Córdoba. importante: La presente publicación está sujeta a disponibilidad. La información es meramente referencial. Los datos no constituyen oferta alguna y se encuentra sujetos a la confirmación del propietario, por lo que los términos no resultan vinculantes entre las partes. La operación que se desea llevar a cabo se encuentra sujeta a disponibilidad de contacto con la inmobiliaria. juárez beltrán S. A",Contactar,3.0,WhatsApp,,,,,,,,,,0,0,0,0,57852640
/propiedades/emprendimiento/ememvein-canitas-park-58271980.html?n_src=Listado&n_pg=1&n_pos=16,125000,USD,,,98.0,,,"Nueva Córdoba, Córdoba","Cañitas park – Ciudad &amp; Parque | Nueva CórdobaVenta en PozoFinanciación propia en pesos. Entrega diciembre 2028Ubicación- Salguero esq. Derqui, Nueva Córdoba- A metros de Av. Poeta Lugones, con vistas al Parque Sarmiento- Excelente conexión con Circunvalación, Costanera, Av. Yrigoyen y Bv. ChacabucoEdificio- Proyecto residencial de diseño contemporáneo- 70 departamentos, todos con balcón orientación frente- Arquitectura Estudio A+R Mondejar- Ingreso parquizado- Local comercial en planta baja- Estacionamiento en subsuelo ( posibilidad compra de cochera) - Accesos con tecnología Smart (Face id) y cerraduras interligentesTipologías- apart uno* 1 dormitorio* 48 m² propios + 8 m² de balcón- apart dos* 2 dormitorios* Superficies entre 74 y 76 m² propios* Balcones de aproximadamente 12 m²* Baño en suite- apart corner* 2 dormitorios* Unidad en esquina* 85, 40 m² propios + 13, 80 m² de balcón* Balcón perimetral con vistas destacadas- apart penthouse* Unidades dúplex exclusivas* 1 y 2 dormitorios* Sector social en planta baja y dormitorios en planta altaTerminaciones destacadas- Pisos de porcelanato de gran formato- Aberturas con doble vidrio (dvh) - Caldera dual con calefacción por radiadores o losa radiante- Cocina equipada con alacenas y bajo mesada- Anafe y horno incluidos- Interiores de placares completos- Cortinas incluidas- Baños con antebaño, revestimientos piso a techo y grifería fv- Puertas interiores de piso a techo- Cerradura Smart con huella o clavejb Srur",Contactar,3.0,WhatsApp,5.0,46.0,,,,,,,,0,0,0,0,58271980
/propiedades/clasificado/veclapin-a-estrenar-depto-1-dor-c-terraza-en-la-mejor-zona-de-57188519.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=17,135000,USD,90000,$,45.0,1.0,1.0,"Nueva Córdoba, Córdoba","Vendo departamentos A estrenar en torre platinus - trejo al 1280 - Barrio Nueva Córdoba. Su cercanía a Ciudad Universitaria, los principales centros de salud, los parques más reconocidos, el famoso Barrio Guemes y varios puntos emblemáticos de la Ciudad de Córdoba lo convierten en el lugar ideal para vivir. El departamento cuenta con un dormitorio, baño completo, cocina semi integrada, living - comedor con salida a un balcón con hermosa vista al contrafrente opcional cochera disponibilidad inmediata posibilidad de escritura inmediata a estrenar. E. M. Servicios Inmobiliariosxintel(anm-anm-159)",Contactar,2.0,WhatsApp,,,,,,,,,,0,0,0,0,57188519
/propiedades/clasificado/veclapin-venta-departamento-un-dormitorio-nueva-cordoba-58272079.html?n_src=Listado&n_pills=Encargado&n_pg=1&n_pos=18,67000,USD,,,49.0,1.0,1.0,"Nueva Córdoba, Córdoba",Fernando Parisia Inmobiliaria ofrece en venta excelente departamento de 1 dormitorio en Nueva Córdoba. 1 dormitorio con placar. cocina sectorizada con bajomesada y alacena. amplio living comedor. baño con bañera. balcón al contrafrente. Amplio y luminoso. ideal para inversion O vivienda. cuenta con escritura. Renta activa hasta Ver datos,Contactar,2.0,,,,,,,,,,,1,0,0,1,58272079
/propiedades/clasificado/veclapin-venta-de-departamento-1-dormitorio.-pilay.-58617606.html?n_src=Listado&n_pills=SUM&n_pg=1&n_pos=19,72000,USD,80000,$,55.0,1.0,,"Nueva Córdoba, Córdoba","Departamento a estrenar en ubicación estratégica Ideal inversión o primera vivienda. Ubicado en un punto clave de la ciudad, este departamento combina conectividad, cercanía a polos de interés y una excelente proyección de renta. A solo cuadras de Nueva Córdoba, a metros del Parque Sarmiento y junto al complejo Dinosaurio Mall, se posiciona como una opción ideal para estudiantes, jóvenes profesionales o inversores. La unidad es a estrenar y cuenta con: 1 dormitorio cómodo y luminoso. 1 baño completo. Cocina semi integrada con barra desayunadora. Living comedor funcional. Balcón con excelente ventilación e iluminación natural. El diseño moderno y la distribución eficiente hacen de este departamento un producto muy buscado en el mercado actual. Puntos fuertes del negocio: Ubicación de alta demanda permanente. Ideal para renta tradicional o temporaria. Excelente relación precio / rentabilidad / revalorización. Producto a estrenar, sin gastos de mantenimiento inicial. Todas las medidas indicadas son aproximadas y pueden llegar a diferir de aquellas expresadas en la documentación de la propiedad. Cada Oficina de la Red de servicios para Inmobiliarias Mudafy es de gestión independiente y autónoma. Todas las propiedades publicadas en el perfil de Roggio-Bustos se encuentran a cargo del corredor inmobiliario responsable de la oficina Rodrigo Bustos de Maussion Matrícula: cpi 7554. Toda intermediación y conclusión de las operaciones serán realizadas exclusivamente por el Corredor Inmobiliario Responsable de la oficina.",Contactar,2.0,WhatsApp,,,1.0,,,,,,,0,0,0,0,58617606
/propiedades/emprendimiento/ememvein-lanin-14-bv.-illia-335-58050963.html?n_src=Listado&n_pg=1&n_pos=20,110561,USD,,,125.0,,,"Nueva Córdoba, Córdoba","Te invitamos a conocer: Lanin 14 en Barrio Nueva Córdoba, sobre Bv. Illia 335, un exclusivo edificio de departamentos en venta. Características destacables: Departamentos de 1 y 2 dormitorios, con opciones de balcones o terrazas (según tipología), y unidades especiales tipo dúplex. El edificio cuenta con 13 pisos, ofreciendo espacios luminosos y modernos con excelentes terminaciones. Características técnicas: Ingreso de jerarquía revestido en madera, mármol y porcelanato. Dos ascensores con cabinas de acero inoxidable y puertas automáticas. Portero eléctrico inteligente. Pisos de porcelanato en estar comedor y dormitorios. Paredes enduídas en yeso, con molduras. Puertas e interiores de placares. Carpintería de pvc con dvh (doble vidriado hermético). Cocinas equipadas con muebles bajo mesada y alacena en melamina con terminaciones en aluminio. Mesada de granito con bacha de acero inoxidable y grifería monocomando. Baños completos con artefactos sanitarios y griferías monocomando. Instalación preparada para aire acondicionado. Cañería para teléfono, tv e internet. Ubicación y entorno: Lanin 14 se emplaza en una de las zonas más dinámicas de la ciudad, donde la ciudad fluye y se reinventa constantemente. La ubicación estratégica te pone al alcance de todo lo que necesitas para tu bienestar, con fácil acceso a avenidas principales y a pocos minutos de puntos clave como el Paseo del Buen Pastor. Unidades modernas y funcionales, pensadas para tu confort y calidad de vida en el corazón de Nueva Córdoba. La información detallada es exclusiva de taiana propiedades y es susceptible a modificación sin previo aviso. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. Todas las fotos, imágenes y videos son meramente ilustrativos, referenciales y no contractuales. Los precios enunciados son meramente orientativos y están sujetos a modificación sin previo aviso, como así también su disponibilidad. -",Contactar,3.0,WhatsApp,12.0,56.0,,,,,,,,0,0,0,0,58050963
