Precio,M2,Balcon2,Amenities,cocinaSep,Monoambiente,A Estrenar,Patio PB,PB,Precio_predicho,residuo,es_outlier,tipo_outlier
77500,38,1,0,1,0,0,0,0,86086.67,-8586.67,False,normal
115000,48,1,0,0,0,0,0,0,86299.55,28700.45,False,normal
102000,60,1,1,0,0,1,0,0,112326.65,-10326.65,False,normal
115000,60,1,0,1,0,0,0,0,86772.53,28227.47,False,normal
77500,35,1,0,1,0,0,0,0,85993.14,-8493.14,False,normal
115000,50,1,0,1,0,0,0,0,86460.77,28539.23,False,normal
96000,60,1,1,0,0,1,0,0,112326.65,-16326.65,False,normal
132000,71,1,1,0,0,0,0,0,106347.58,25652.42,False,normal
69000,45,1,1,1,0,0,0,0,105635.89,-36635.89,False,normal
118420,64,0,0,0,0,0,0,0,76765.46,41654.54,True,sobrevaluado
102900,54,0,1,0,0,0,0,0,95784.7,7115.3,False,normal
68000,45,1,0,1,0,0,1,0,81332.57,-13332.57,False,normal
83000,34,0,0,0,0,0,0,0,75830.19,7169.81,False,normal
68000,48,0,0,0,0,0,0,0,76266.65,-8266.65,False,normal
76000,42,1,0,1,0,0,0,0,86211.37,-10211.37,False,normal
110000,53,1,0,1,0,0,0,0,86554.3,23445.7,False,normal
69000,35,0,0,1,0,0,0,0,75960.24,-6960.24,False,normal
80000,43,0,0,1,0,0,0,0,76209.65,3790.35,False,normal
69000,38,1,1,1,0,0,0,0,105417.66,-36417.66,False,normal
116000,78,1,0,1,0,0,0,1,93553.7,22446.3,False,normal
68000,45,0,0,0,0,0,0,0,76173.12,-8173.12,False,normal
67000,40,1,0,1,0,0,0,0,86149.02,-19149.02,False,normal
115000,46,1,1,0,0,0,1,0,100595.87,14404.13,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
110000,46,1,1,0,0,1,0,0,111890.19,-1890.19,False,normal
87000,40,0,0,1,0,0,0,0,76116.12,10883.88,False,normal
112000,52,1,1,0,0,1,0,0,112077.24,-77.24,False,normal
